IATA
DMM
DXB
PVG
BKK
IST
HND
PEK
DEL
CAI
CMN
CPT
LOS
ALG
NBO
SSH
MRU
ATL
DFW
DEN
ORD
LAX
JFK
LAS
MIA
MCO
CLT
MEX
SEA
EWR
SFO
BOG
GRU
FRA
MUC
BER
AMS
LHR
MAN
OSL
ARN
MAD
LIS
FCO
ATH
WAW
VIE
ZRH
DUB
NCE
CDG
